Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Year-Month,Simple Returns
2016-03-14,171.3383659268879,172.08419092432308,171.00782646841748,171.62652587890625,73612000,0.0,0.0,0.0,2016-03,-0.1282347486156743
2016-03-15,170.6603586539173,171.65197718059292,170.3976237792099,171.34686279296875,93169100,0.0,0.0,0.0,2016-03,-0.16294863775010437
2016-03-16,170.86376178874585,172.74529823845296,170.82138227849984,172.33847045898438,129303200,0.0,0.0,0.0,2016-03,0.578713639603512
2016-03-17,172.25368500123147,173.94027790480766,171.8553409743026,173.4317626953125,134278500,0.0,0.0,0.0,2016-03,0.634386642411533
2016-03-18,173.9344202508719,174.45408574269595,173.6192177883122,174.1133270263672,138372400,1.05,0.0,0.0,2016-03,0.3929870287094239
2016-03-21,173.84919834308363,174.5903555355031,173.61917911129143,174.36033630371094,72926700,0.0,0.0,0.0,2016-03,0.14186695617295353
2016-03-22,173.585116974404,174.83742528186085,173.42326504955457,174.2666473388672,97471900,0.0,0.0,0.0,2016-03,-0.05373295717929771
2016-03-23,173.8832906845147,174.0707118598421,172.94618480787767,173.1165771484375,81052500,0.0,0.0,0.0,2016-03,-0.6599485374808034
2016-03-24,172.08575181239442,173.0739701406084,171.8642599798402,173.03988647460938,84360900,0.0,0.0,0.0,2016-03,-0.044300017416798454
2016-03-28,173.45735334236363,173.67033079045362,172.69063972888446,173.14215087890625,62408200,0.0,0.0,0.0,2016-03,0.05909874675738003
2016-03-29,172.73323613484362,174.85449633646226,172.42654806953865,174.74374389648438,92922900,0.0,0.0,0.0,2016-03,0.9250162421155617
2016-03-30,175.7489401246286,176.23452180129772,175.14407863360756,175.51040649414062,86365300,0.0,0.0,0.0,2016-03,0.438735362171494
2016-03-31,175.41674747100208,175.8427023647693,174.9226382343387,175.08450317382812,94584100,0.0,0.0,0.0,2016-03,-0.24266556543285356
2016-04-01,174.0877443178567,176.46456655097563,173.77252890408602,176.2771453857422,114423500,0.0,0.0,0.0,2016-04,0.6811809099575017
2016-04-04,176.20051490994678,176.40497795255345,175.39971757529472,175.70640563964844,63497000,0.0,0.0,0.0,2016-04,-0.323774102901897
2016-04-05,174.3603442614002,175.71487746767957,173.69585578288167,173.95143127441406,99662200,0.0,0.0,0.0,2016-04,-0.9988106915314154
2016-04-06,173.95144132401163,175.91083620681303,173.77253456987023,175.8511962890625,91839800,0.0,0.0,0.0,2016-04,1.0921238191202276
2016-04-07,174.7607533712139,175.11855388129385,173.01433590604665,173.74697875976562,113859000,0.0,0.0,0.0,2016-04,-1.1965898291860233
2016-04-08,174.93114673181876,175.36562902818736,173.6788383465998,174.21554565429688,95040600,0.0,0.0,0.0,2016-04,0.2696834775925083
2016-04-11,174.85445533520982,175.5530274864749,173.71289952613287,173.80661010742188,83757500,0.0,0.0,0.0,2016-04,-0.23472965362486553
2016-04-12,173.9769881419096,175.7063636753675,173.5339914882865,175.42523193359375,115350600,0.0,0.0,0.0,2016-04,0.9312774843094118
2016-04-13,176.34529495239258,177.28240075323265,176.20898629061412,177.19720458984375,96336400,0.0,0.0,0.0,2016-04,1.010101361542315
2016-04-14,177.25684449163606,177.70835555952485,176.85644592213328,177.20571899414062,65212900,0.0,0.0,0.0,2016-04,0.004805044366573696
2016-04-15,177.20576228487204,177.3420709799407,176.68609675914638,177.00982666015625,75761600,0.0,0.0,0.0,2016-04,-0.1105451534500701
2016-04-18,177.00980711748485,178.28767174466802,176.3453185512785,178.25360107421875,82531000,0.0,0.0,0.0,2016-04,0.7026583989884649
2016-04-19,178.67954600148494,179.0714171858337,177.99801563844437,178.8158416748047,88316100,0.0,0.0,0.0,2016-04,0.31541612466603475
2016-04-20,178.85844231536993,179.6847957800082,178.3813749541583,178.98623657226562,81100300,0.0,0.0,0.0,2016-04,0.09529071689902135
2016-04-21,179.0032964907813,179.11404893283404,177.75098795058466,178.0236053466797,85695000,0.0,0.0,0.0,2016-04,-0.5378241612434165
2016-04-22,177.66580476363964,178.29620974366182,177.12058297056248,178.0236053466797,99251700,0.0,0.0,0.0,2016-04,0.0
2016-04-25,177.41871482404557,177.7594865138486,176.8053387815109,177.71688842773438,66166500,0.0,0.0,0.0,2016-04,-0.17229002768931467
2016-04-26,178.0831667588304,178.4920927025245,177.50387450392594,177.98094177246094,75864200,0.0,0.0,0.0,2016-04,0.14858089575089384
2016-04-27,177.5975901943301,178.73914590539215,177.23978973261404,178.34727478027344,77329400,0.0,0.0,0.0,2016-04,0.20582709820742284
2016-04-28,177.58913601275276,178.69660843693498,176.31127121643829,176.72869873046875,97216200,0.0,0.0,0.0,2016-04,-0.9075417899145344
2016-04-29,176.1068109827757,176.45609715246886,174.66708120940265,175.77456665039062,142424100,0.0,0.0,0.0,2016-04,-0.5398851951789019
2016-05-02,176.2771232284892,177.35052458608726,175.84265403593693,177.171630859375,62188000,0.0,0.0,0.0,2016-05,0.7948045246859214
2016-05-03,175.93638770648442,176.1749213728247,174.88001504189907,175.62969970703125,106422100,0.0,0.0,0.0,2016-05,-0.8703036399589359
2016-05-04,174.632995577326,175.36563852946756,174.14740074898373,174.6500244140625,92243800,0.0,0.0,0.0,2016-05,-0.5578073040054976
2016-05-05,175.11859049953313,175.47639108443107,174.1900118625994,174.615966796875,67619200,0.0,0.0,0.0,2016-05,-0.01950049380282648
2016-05-06,173.84070944313868,175.2974809017674,173.68737192071026,175.2548828125,89315000,0.0,0.0,0.0,2016-05,0.3658978198529894
2016-05-09,175.127069139445,175.83414269418165,174.9481623972705,175.39967346191406,74374900,0.0,0.0,0.0,2016-05,0.08261718423501208
2016-05-10,176.106781463206,177.59762349949054,176.03862712451112,177.58058166503906,77472200,0.0,0.0,0.0,2016-05,1.2433935366467752
2016-05-11,177.12058385156465,177.6572782292378,175.9193878173828,175.9193878173828,81727000,0.0,0.0,0.0,2016-05,-0.9354591769440646
2016-05-12,176.59233408969862,176.76272640785228,174.95666922847215,175.97044372558594,89586300,0.0,0.0,0.0,2016-05,0.02902233166939272
2016-05-13,175.672275718656,176.22601173185097,174.1132796672337,174.43699645996094,96474600,0.0,0.0,0.0,2016-05,-0.8714231965092467
2016-05-16,174.60736845802464,176.63490413130492,174.54772855631597,176.1578369140625,77486800,0.0,0.0,0.0,2016-05,0.9865111696626627
